Virtual User Script started at: 1/6/2021 11:16:34 AM	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.3.0 for Windows 2019; build 356 (Sep 21 2020 19:30:48)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT)  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\demo\AppData\Local\Temp\1\lr5tmpdiri5n.568\lrcfgimu.569\cfgboC.581"  	[MsgId: MMSG-27141]
The addtional attribute TranTime was set to 2.000000	[MsgId: MMSG-17999]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 4.0013).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 8.2546).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(77): Notify: Transaction "T03_Purchase" ended with a "Pass" status (Duration: 5.2396).	[MsgId: MMSG-16873]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Waiting 15.1350 seconds for iteration pacing.	[MsgId: MMSG-15996]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 3.4078).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 11.7797).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(77): Notify: Transaction "T03_Purchase" ended with a "Pass" status (Duration: 3.1094).	[MsgId: MMSG-16873]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Waiting 54.7050 seconds for iteration pacing.	[MsgId: MMSG-15996]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 4.5475).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 10.9670).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(77): Notify: Transaction "T03_Purchase" ended with a "Pass" status (Duration: 6.0299).	[MsgId: MMSG-16873]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Waiting 20.3670 seconds for iteration pacing.	[MsgId: MMSG-15996]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 4.0905).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 8.6533).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(77): Notify: Transaction "T03_Purchase" ended with a "Pass" status (Duration: 3.3918).	[MsgId: MMSG-16873]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Waiting 23.0480 seconds for iteration pacing.	[MsgId: MMSG-15996]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 4.8622).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 11.8087).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(77): Notify: Transaction "T03_Purchase" ended with a "Pass" status (Duration: 4.6259).	[MsgId: MMSG-16873]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 5.	[MsgId: MMSG-15965]
Waiting 21.1160 seconds for iteration pacing.	[MsgId: MMSG-15996]
Starting iteration 6.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(36): Notify: Transaction "T01_HomePage" started.	[MsgId: MMSG-16999]
